3,778409323
3,127886824
3,967093756
1,864310055
2,799059744
2,224456262
3,733102453
3,863084437
2,877255022
3,687549834
1,749623089
1,544067538
2,571090945
2,838455160
2,515239684
2,773090727
3,696529198
1,243469103
1,726347633
1,811047817
3,303858058
3,351259095
1,380266611
2,982684848
2,688735857
3,729708098
3,857477554
3,314652856
1,970302577
2,864310055
1,759665762
1,674552841
3,580383757
3,544067538
3,307485015
2,428219727
1,210899861
3,214830701
3,507924463
3,724590025
2,277436615
1,555328229
3,709360680
2,729708098
3,453216008
2,118075403
1,274273031
2,459392275
1,657880196
1,744308217
3,303858058
1,278541198
1,577288658
2,795104057
1,423094535
3,112426489
3,117115631
1,650338237
2,303858058
2,499182222
1,910281153
3,46610763
1,232807009
1,874848022
1,722863351
3,676119400
1,173463840
3,706448044
1,649438879
3,584850943
3,112426489
3,307728307
2,72970190
1,507326705
3,509912771
1,331176592
1,962233153
3,478216804
1,132900191
2,674552841
2,444404961
3,331176592
2,127886824
1,952002475
2,274273031
1,708096352
1,777937774
2,210899861
1,998805979
2,797202428
3,724590025
1,864387886
1,552071590
2,883145529
1,57693155
1,666664995
2,132900191
3,726347633
1,96818115
3,834451642
